fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2011,42039.73265,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,24,38,1799264.4,38
2008,42039.73265,Greater than $500 million,Zero value,Zero value,18,1416,26524227746,1416
2009,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,291,1529,591183984.9,1596
2006,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,467,545,0,547
2014,42039.73265,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,783,2242,2014627489,2336
2011,42039.73265,Zero value,$5 - <$25 million,$250 thousand - <$1 million,1,8,0,8
2003,42039.73265,$25 - <$100 million,Deobligation,Deobligation,1,7,64875779,7
2010,42039.73265,$5 - <$25 million,$1 - <$5 million,Deobligation,13,158,101060915,191
2007,42039.73265,Deobligation,$5 - <$25 million,$25 - <$100 million,1,1,-27748,1
2009,42039.73265,$5 - <$25 million,$1 - <$5 million,$5 - <$25 million,2,21,20159861.72,21
2011,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$100 - <$500 million,1,3,466905.48,3
2012,42039.73265,Less than $250 thousand,$1 - <$5 million,Zero value,16,61,2170496.71,66
2006,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,20,74,4105944557,84
2011,42039.73265,$250 thousand - <$1 million,Zero value,Zero value,2047,7058,1009881623,7170
2002,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,5,77358,5
2014,42039.73265,$100 - <$500 million,$100 - <$500 million,Deobligation,9,274,2096062061,300
2012,42039.73265,Deobligation,Less than $250 thousand,Less than $250 thousand,93,193,-7383683.89,199
2008,42039.73265,Zero value,Zero value,Greater than $500 million,340,340,0,340
2000,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,4,371150,4
2012,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,820,1625,110595783.8,1682
2014,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,16,26,8117144.778,3813
2000,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,9,13,113348124,13
2011,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,358,2127,763007632.9,2202
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,321,1502,944024264.2,1615
2009,42039.73265,$5 - <$25 million,Deobligation,Deobligation,41,271,452322936.9,279
2009,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,Greater than $500 million,3,3,1251344.23,3
2001,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,8,12,105580829.1,12
2006,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$25 - <$100 million,1,1,546.37,1
2013,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,29,172,13306158.95,182
2008,42039.73265,Zero value,$25 - <$100 million,Zero value,2,6,0,6
2008,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,21,55,9564634.21,55
2009,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,4,9,1555620.2,9
2008,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,13,61,1982003.01,70
2008,42039.73265,$25 - <$100 million,$5 - <$25 million,$1 - <$5 million,2,49,76573084.66,49
2011,42039.73265,Deobligation,Deobligation,Less than $250 thousand,22,41,-997751.34,42
2009,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Greater than $500 million,2,2,82428,2
2006,42039.73265,$25 - <$100 million,$5 - <$25 million,$100 - <$500 million,1,22,97712368,22
2010,42039.73265,$5 - <$25 million,$1 - <$5 million,$5 - <$25 million,2,22,16683690.91,22
2004,42039.73265,$1 - <$5 million,Zero value,$25 - <$100 million,1,2,1540000,2
2009,42039.73265,$100 - <$500 million,Deobligation,Deobligation,3,43,668962631,43
2002,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,4,33,68245079.8,33
2002,42039.73265,Zero value,Less than $250 thousand,$5 - <$25 million,1,1,0,1
2006,42039.73265,Zero value,$250 thousand - <$1 million,$1 - <$5 million,86,100,0,100
2014,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Less than $250 thousand,1,8,5161280.688,8
2001,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,1,1,119000000,1
2007,42039.73265,Zero value,Less than $250 thousand,$1 - <$5 million,29,31,0,31
2006,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Zero value,15,70,28918923.78,72
2006,42039.73265,Zero value,NULL,Greater than $500 million,320,2539,0,NULL
2009,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,1,3,393660,3
2012,42039.73265,Zero value,NULL,$5 - <$25 million,1928,3771,0,NULL
2013,42039.73265,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,2,8,2727872.281,10
2009,42039.73265,Less than $250 thousand,Deobligation,Deobligation,756,2012,47582893.08,2012
2007,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,172,696,81675239.86,701
2008,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,43,241,29947575.63,249
2007,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,56,365,131248498.3,370
2009,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1393,2860,779323760.6,2950
2000,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$25 - <$100 million,1,11,7984457,11
2005,42039.73265,$5 - <$25 million,Zero value,$1 - <$5 million,2,5,17269220,6
1991,42039.73265,$5 - <$25 million,NULL,NULL,2727,32044,28009931467,2
2003,42039.73265,Less than $250 thousand,Zero value,$250 thousand - <$1 million,3,3,38326,5
2006,42039.73265,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,34,310,322516802.8,311
2007,42039.73265,$1 - <$5 million,$100 - <$500 million,Greater than $500 million,2,24,3273156,26
2007,42039.73265,Less than $250 thousand,$5 - <$25 million,$100 - <$500 million,3,3,75000,3
2014,42039.73265,Zero value,NULL,$5 - <$25 million,1898,3565,0,NULL
2005,42039.73265,$1 - <$5 million,Zero value,$5 - <$25 million,1,1,4343300,2
2013,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,40,519,1596261352,678
2013,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,159,1290,1585405100,1360
2002,42039.73265,Deobligation,Zero value,$1 - <$5 million,1,5,-20689,5
2011,42039.73265,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,7,148,2208401941,150
2003,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,894,1025,25439594.52,1034
2008,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,5,10,0,10
2009,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,172,235,10583041.23,236
2012,42039.73265,Greater than $500 million,Greater than $500 million,$100 - <$500 million,3,279,2871976095,279
2013,42039.73265,$25 - <$100 million,$100 - <$500 million,$5 - <$25 million,3,135,250978749,135
2010,42039.73265,Less than $250 thousand,Deobligation,$1 - <$5 million,1,2,26010.15,2
2014,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,11,46,1802067.75,46
2013,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,16,223,292353893.7,284
2012,42039.73265,Zero value,NULL,$25 - <$100 million,1060,2368,0,NULL
2013,42039.73265,$25 - <$100 million,Zero value,$5 - <$25 million,1,10,50526270.25,11
2009,42039.73265,$5 - <$25 million,Zero value,Greater than $500 million,1,12,7952210,12
2009,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,125,777,1649829944,935
2002,42039.73265,Zero value,Zero value,Less than $250 thousand,2143,2143,0,2143
2011,42039.73265,$25 - <$100 million,$100 - <$500 million,$25 - <$100 million,2,21,160446284,21
2008,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,1,13,25497519.22,13
2006,42039.73265,Greater than $500 million,Zero value,Zero value,36,1019,43115240190,1059
2014,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,2,22,33816074.88,22
2014,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,41,307,61868253.68,341
2010,42039.73265,$1 - <$5 million,Zero value,Zero value,1553,9956,3463170834,10955
2014,42039.73265,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,3,11,46051958,11
2011,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,168,235,10288613.44,235
2013,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$5 - <$25 million,1,13,2522892.328,13
2010,42039.73265,Zero value,$5 - <$25 million,$100 - <$500 million,1,1,0,3
2009,42039.73265,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,15,203,3074234046,231
2009,42039.73265,Deobligation,$1 - <$5 million,Deobligation,1,3,-581363.52,6
2006,42039.73265,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,1,21,175198616,21
2007,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,382,563,32028481.29,574
2013,42039.73265,Zero value,Zero value,Deobligation,483,578,0,582
2008,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1241,2368,164563638.5,2468
2013,42039.73265,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,2,13,11691457.6,13
2012,42039.73265,Less than $250 thousand,Zero value,Deobligation,9,22,228370.9,22
2002,42039.73265,Less than $250 thousand,Deobligation,Deobligation,1,2,5876,2
2006,42039.73265,Deobligation,$1 - <$5 million,$5 - <$25 million,1,1,-7051,1
2007,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,2,41,64828685,41
2011,42039.73265,$100 - <$500 million,Greater than $500 million,$100 - <$500 million,2,359,562393135,359
2010,42039.73265,$1 - <$5 million,Less than $250 thousand,Deobligation,5,38,7571053.52,38
2008,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,2,11,1193396,11
2010,42039.73265,$25 - <$100 million,$5 - <$25 million,Less than $250 thousand,1,6,42815235,13
2007,42039.73265,Deobligation,$1 - <$5 million,Deobligation,1,1,-511450,1
2008,42039.73265,Zero value,$5 - <$25 million,$100 - <$500 million,3,4,0,8
2007,42039.73265,Less than $250 thousand,Zero value,$5 - <$25 million,1,4,164500,4
2007,42039.73265,Zero value,NULL,Zero value,13735,22568,0,NULL
2011,42039.73265,Zero value,Deobligation,Deobligation,656,837,0,838
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,676,2063,1629048105,2302
2009,42039.73265,$5 - <$25 million,$100 - <$500 million,Greater than $500 million,2,32,21869375.75,48
2005,42039.73265,Less than $250 thousand,Zero value,$250 thousand - <$1 million,6,10,965173,10
2011,42039.73265,$1 - <$5 million,$25 - <$100 million,Greater than $500 million,1,4,2000000,8
2012,42039.73265,Zero value,NULL,Deobligation,544,1603,0,NULL
2006,42039.73265,$100 - <$500 million,Zero value,$100 - <$500 million,1,32,299890055,54
1996,42039.73265,$5 - <$25 million,NULL,NULL,2606,43233,27442601426,44042
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,71,450,654213395.1,461
2009,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,871277,1005442,23696182285,1038590
2009,42039.73265,Less than $250 thousand,Less than $250 thousand,Greater than $500 million,199,199,497699,199
2010,42039.73265,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,14,119,52814417.21,133
2009,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,112,1006,1193677125,1058
2013,42039.73265,$5 - <$25 million,Deobligation,Zero value,2,22,16396136.98,28
2007,42039.73265,$100 - <$500 million,$100 - <$500 million,Deobligation,1,4,107733060,4
2014,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1816,4087,912328444.7,4122
2009,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,18,62,-35677467.84,4172
2006,42039.73265,$5 - <$25 million,$25 - <$100 million,$250 thousand - <$1 million,1,11,20130836,11
2010,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$5 - <$25 million,1,5,2152278,5
2011,42039.73265,Deobligation,Deobligation,Zero value,272,353,-36807304.47,354
2003,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,5,6,68014.98,6
2003,42039.73265,Less than $250 thousand,Zero value,$25 - <$100 million,1,1,12351,2
2007,42039.73265,$5 - <$25 million,$25 - <$100 million,$250 thousand - <$1 million,1,12,13993593,16
2007,42039.73265,Zero value,$250 thousand - <$1 million,Deobligation,2,4,0,4
2010,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,870583,1018123,24396546061,1049510
2005,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,22,92,41583911.92,92
2009,42039.73265,Greater than $500 million,Greater than $500 million,Deobligation,1,65,1553061267,72
2013,42039.73265,$5 - <$25 million,Zero value,Deobligation,1,3,7925949,6
2011,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,1920,3265,237991567.8,3434
2002,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,1,1,591146.44,1
2014,42039.73265,Deobligation,Less than $250 thousand,Deobligation,12,31,-558540.4799,31
2000,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,2,2,0,2
2011,42039.73265,Zero value,NULL,Zero value,17283,30651,0,NULL
2010,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,3,48,104312585.7,86
2002,42039.73265,$1 - <$5 million,Zero value,$5 - <$25 million,2,8,5148680,8
2008,42039.73265,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,64,608,568018386.3,671
2005,42039.73265,$250 thousand - <$1 million,Zero value,$5 - <$25 million,2,5,1413671,5
2012,42039.73265,Less than $250 thousand,$5 - <$25 million,Zero value,2,22,398568.14,28
2010,42039.73265,Less than $250 thousand,Less than $250 thousand,Greater than $500 million,3,3,168345.45,3
2013,42039.73265,Zero value,NULL,Deobligation,831,1980,0,NULL
2011,42039.73265,Deobligation,Zero value,Deobligation,2,2,-58141.45,2
2005,42039.73265,Zero value,Less than $250 thousand,$250 thousand - <$1 million,23,24,0,24
2000,42039.73265,$250 thousand - <$1 million,Zero value,Zero value,30354,48026,14570718757,49315
2011,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,52,61,0,62
2006,42039.73265,Zero value,Less than $250 thousand,$1 - <$5 million,11,11,0,11
2007,42039.73265,Zero value,NULL,Greater than $500 million,640,4062,0,NULL
2007,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,136,1050,26648199504,5304
2014,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,50,82,0,82
2011,42039.73265,$100 - <$500 million,Zero value,Zero value,38,870,8054606542,878
2012,42039.73265,Less than $250 thousand,$1 - <$5 million,Less than $250 thousand,4,11,481132.9,11
1991,42039.73265,Greater than $500 million,NULL,NULL,19,1643,18695702000,NULL
2013,42039.73265,Zero value,$250 thousand - <$1 million,Less than $250 thousand,4,10,0,10
2005,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,88,194,48446008.41,196
2007,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,9,54,5437055.94,54
2009,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,6,8,0,11
2007,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,3,32,7668826,32
2004,42039.73265,Zero value,NULL,$5 - <$25 million,93,111,0,NULL
2008,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,10,52,19393517.61,52
2011,42039.73265,Zero value,Zero value,$1 - <$5 million,33,61,0,4824
2009,42039.73265,Deobligation,Zero value,Less than $250 thousand,1,1,-96537.91,1
2013,42039.73265,$25 - <$100 million,$100 - <$500 million,Deobligation,1,15,56886206.43,15
2014,42039.73265,Zero value,Deobligation,Zero value,6,9,0,9
2002,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,1,4,22643491,4
2012,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$5 - <$25 million,1,9,7230033,9
2012,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,96,721,892898214.6,800
2013,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,1,5,666205,5
2005,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,13,28,7691934.43,31
2009,42039.73265,Less than $250 thousand,Zero value,$250 thousand - <$1 million,1,1,26178,1
2014,42039.73265,$5 - <$25 million,$100 - <$500 million,Deobligation,1,16,14750377.65,22
2002,42039.73265,$5 - <$25 million,Zero value,Zero value,3192,16107,32291159083,16958
2004,42039.73265,$1 - <$5 million,Zero value,Zero value,16603,41656,35291639471,56557
2013,42039.73265,$5 - <$25 million,$25 - <$100 million,Greater than $500 million,1,3,16500000,5
2013,42039.73265,Greater than $500 million,$25 - <$100 million,$5 - <$25 million,1,17,542227051.3,17
2006,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,28,32,0,36
2014,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,2643,3073,0,3102
2013,42039.73265,Zero value,NULL,$100 - <$500 million,457,1045,0,NULL
2012,42039.73265,Deobligation,$1 - <$5 million,Zero value,1,4,-22916.13,8
2007,42039.73265,Less than $250 thousand,$1 - <$5 million,Deobligation,2,22,168818.04,22
2010,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,95,162,55429542.59,304
2013,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,10,35,97008076.35,35
2010,42039.73265,$25 - <$100 million,$100 - <$500 million,$25 - <$100 million,2,47,86333741.79,47
2014,42039.73265,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,1,14,134511723,19
2008,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,44,101,6321493.73,101
2009,42039.73265,Zero value,$1 - <$5 million,$1 - <$5 million,232,319,0,324
2005,42039.73265,$100 - <$500 million,Less than $250 thousand,Less than $250 thousand,1,4,233865176,4
2009,42039.73265,$100 - <$500 million,$100 - <$500 million,Zero value,1,3,117385862,3
2005,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,4,4,1593192.2,5
2007,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$1 - <$5 million,1,22,7391099,22
